Overflow Type,Municipality/Facility,NPDES #,Date Discovered,Time Discovered,Days,Hours,Minutes,Location,Zip Code,Latitude,Longitude,Collection-System,Quantity in Gallons (Estimated),Net in Gallons (Estimated),Cause,Receiving waters,County,Penalty Collected Comments,Penalty Collected,Notes
CSO,Allegany County DPW,MD0067407,1/5/2005,3:00:00 AM,,,,003 Grahamtown,21532,39.3857,-78.5525,Cumberland WWTP,27000,27000,Precipitation,Georges Creek,Allegany,,,Duration not provided
CSO,"Frostburg, City of",MD0067423,1/5/2005,5:00:00 AM,1,11,0,001/C,21532,37.57912784,-81.52842485,Cumberland WWTP,10000,10000,Precipitation,Sand Spring Run,Allegany,,,None
CSO,"Frostburg, City of",MD0067423,1/5/2005,5:00:00 AM,1,11,0,004/F,21532,37.57913753,-81.52840922,Cumberland WWTP,10000,10000,Precipitation,Jennings Run,Allegany,,,None
CSO,"Frostburg, City of",MD0067423,1/5/2005,5:00:00 AM,1,11,0,005/G,21532,37.57913835,-81.52841652,Cumberland WWTP,10000,10000,Precipitation,Jennings Run,Allegany,,,None
CSO,"Frostburg, City of",MD0067423,1/5/2005,5:00:00 AM,1,11,0,006/H,21532,37.5791357,-81.52842085,Cumberland WWTP,10000,10000,Precipitation,Jennings Run,Allegany,,,None
CSO,"Frostburg, City of",MD0067423,1/5/2005,5:00:00 AM,1,11,0,009/P.1,21532,37.57912886,-81.52841316,Cumberland WWTP,20000,20000,Precipitation,Jennings Run,Allegany,,,None
CSO,"Frostburg, City of",MD0067423,1/5/2005,5:00:00 AM,1,11,0,009/P.2,21532,37.57912857,-81.52841349,Cumberland WWTP,15000,15000,Precipitation,Georges Creek,Allegany,,,None
CSO,"Frostburg, City of",MD0067423,1/5/2005,5:00:00 AM,1,11,0,010/Q,21532,37.5791275,-81.52841273,Cumberland WWTP,10000,10000,Precipitation,Georges Creek,Allegany,,,None
CSO,"Frostburg, City of",MD0067423,1/5/2005,5:00:00 AM,1,11,0,011/R,21532,37.5791267,-81.52841199,Cumberland WWTP,10000,10000,Precipitation,Georges Creek,Allegany,,,None
CSO,"Frostburg, City of",MD0067423,1/5/2005,5:00:00 AM,1,11,0,012/U,21532,37.57912589,-81.5284116,Cumberland WWTP,10000,10000,Precipitation,Georges Creek,Allegany,,,None
CSO,La Vale,MD0067547,1/5/2005,5:30:00 AM,15,18,0,001 LA Vale PS,21504,37.57914957,-81.52828562,Cumberland WWTP,11460342,11460342,Excessive flow,Braddock Run,Allegany,,,None
CSO,Allegany County DPW,MD0067407,1/5/2005,6:00:00 AM,,,,001 Wright's Crossing PS,21532,39.382,-78.5557,Cumberland WWTP,18000,18000,Precipitation,Georges Creek,Allegany,,,Duration not provided
SSO,Allegany County DPW,N/A,1/5/2005,6:00:00 AM,24,0,0,"Georges Creek WWTP, Constructed Overflow Pipe @ MH#2",21521,,,Cumberland WWTP,5105000,5105000,Precipitation,Georges Creek,Allegany,,,None
CSO,"Cumberland, City of",MD0021598,1/5/2005,7:00:00 AM,0,5,0,003 Mill Race PS,21502,39.391,-78.491,Cumberland WWTP,1583500,1583500,Precipitation,North Branch Potomac River,Allegany,,,None
CSO,"Cumberland, City of",MD0021598,1/5/2005,7:00:00 AM,0,3,0,008 Bedford Street,21502,39.391,-78.491,Cumberland WWTP,73319,73319,Precipitation,Wills Creek,Allegany,,,None
CSO,"Cumberland, City of",MD0021598,1/5/2005,7:00:00 AM,0,4,0,011 Franklin Street,21502,39.391,-78.491,Cumberland WWTP,48588,48588,Precipitation,Wills Creek,Allegany,,,None
CSO,"Cumberland, City of",MD0021598,1/5/2005,7:00:00 AM,0,2,0,012 Valley Street,21502,39.391,-78.491,Cumberland WWTP,32392,32392,Precipitation,Wills Creek,Allegany,,,None
CSO,La Vale,MD0067547,1/5/2005,7:30:00 AM,11,16,0,006 Red Hill,21504,37.57912013,-81.52834872,Cumberland WWTP,46218770,46218770,Excessive flow,Braddock Run,Allegany,,,None
BYPASS,"Cumberland, City of",MD0021598,1/5/2005,7:50:00 AM,0,10,35,001 Cumberland WWTP,26767,,,Cumberland WWTP,61400,61400,Precipitation,Potomac River,Allegany,,,None
SSO,Allegany County DPW,N/A,1/5/2005,8:00:00 AM,3,21,0,"Cresaptown Sanitary District, MH #20 on Darrows Lane",21502,,,Celanese WWTP,279000,279000,Precipitation,Warrior Run,Allegany,,,None
SSO,Allegany County DPW,N/A,1/5/2005,8:00:00 AM,,,,"Jennings Run Sanitary District, MH 47 Between Corriganville and Barrelville, Corriganville",21502,,,Cumberland WWTP,12000,12000,Precipitation,Jennings Run,Allegany,,,Duration not provided
CSO,"Westernport, Town of",MD0067384,1/5/2005,8:00:00 AM,0,14,0,Washington Street,21562,39.2907,-79.0241,Cumberland WWTP,10000,10000,Precipitation,Georges Creek,Allegany,,,None
CSO,"Westernport, Town of",MD0067384,1/5/2005,8:00:00 AM,0,14,0,Waverly Street,21562,39.2922,-79.0232,Cumberland WWTP,10000,10000,Precipitation,Georges Creek,Allegany,,,None
SSO,Allegany County DPW,N/A,1/5/2005,9:00:00 AM,6,13,0,"Bedford Road Sanitary District, Mill Run PS",21502,,,Cumberland WWTP,204000,204000,Precipitation,Pea Vine Run,Allegany,,,None
SSO,Allegany County DPW,N/A,1/5/2005,9:00:00 AM,,,,"Cresaptown Sanitary District, Cresaptown PS, Cresaptown",21502,,,Celanese WWTP,9000,9000,Precipitation,North Branch Potomac River,Allegany,,,Duration & collection system not provided
SSO,Garrett County DPW,N/A,1/5/2005,10:00:00 AM,0,7,0,"MH #10, South Street",21520,,,,2400,2400,Precipitation,South Branch Bear Creek,Garrett,,,Collection system not provided
SSO,Town of LaPlata,N/A,1/5/2005,10:00:00 AM,0,0,20,Willows Lane PS,20646,,,,50,50,Mechanical failure,Unknown,Charles,,,Collection system not provided
SSO,Garrett County DPW,N/A,1/5/2005,10:15:00 AM,1,8,15,Allegany Drive in Mt. Lake Park,21550,,,,38700,38700,Infiltration,Little Youghiogheny,Garrett,,,Collection system not provided
SSO,Baltimore County DPW,N/A,1/5/2005,2:30:00 PM,0,1,0,2539 Cedar Lane,21207,,,Patapsco WWTP,200,200,Blockage,Unknown,Baltimore County,,,None
SSO,Allegany County DPW,N/A,1/5/2005,5:00:00 PM,,,,"Jennings Run Sanitary District, Locust Grove Pump Station",21532,,,Cumberland WWTP,43000,43000,Precipitation,Wills Creek,Allegany,,,None
BYPASS,Friendsville WWTP,MD0021083,1/6/2005,10:30:00 AM,0,3,10,Friendsville WWTP,21531,,,,10000,10000,Heavy flow,Little Youghiogheny,Garrett,,,Collection system not provided
SSO,Garrett County DPW,N/A,1/6/2005,1:00:00 PM,0,4,0,"MH #10, South Street",21520,,,,2400,2400,Precipitation,South Branch Bear Creek,Garrett,,,Collection system not provided
SSO,WSSC,N/A,1/6/2005,9:48:00 PM,0,8,0,"6610 Killarney St, Clinton, MH 0402103U",20735,,,,4800,4800,Grease,No named creek,Prince George's,,,Collection system not provided
CSO,"Frostburg, City of",MD0067423,1/8/2005,3:00:00 AM,0,9,30,001/C,21532,37.57912784,-81.52842485,Cumberland WWTP,4000,4000,Precipitation,Sand Spring Run,Allegany,,,None
CSO,"Frostburg, City of",MD0067423,1/8/2005,3:00:00 AM,0,9,30,004/F,21532,37.57913753,-81.52840922,Cumberland WWTP,4000,4000,Precipitation,Jennings Run,Allegany,,,None
CSO,"Frostburg, City of",MD0067423,1/8/2005,3:00:00 AM,0,9,30,005/G,21532,37.57913835,-81.52841652,Cumberland WWTP,4000,4000,Precipitation,Jennings Run,Allegany,,,None
CSO,"Frostburg, City of",MD0067423,1/8/2005,3:00:00 AM,0,9,30,006/H,21532,37.5791357,-81.52842085,Cumberland WWTP,4000,4000,Precipitation,Jennings Run,Allegany,,,None
CSO,"Frostburg, City of",MD0067423,1/8/2005,3:00:00 AM,0,9,30,010/Q,21532,37.5791275,-81.52841273,Cumberland WWTP,4000,4000,Precipitation,Georges Creek,Allegany,,,None
CSO,"Frostburg, City of",MD0067423,1/8/2005,3:00:00 AM,0,9,30,011/R,21532,37.5791267,-81.52841199,Cumberland WWTP,4000,4000,Precipitation,Georges Creek,Allegany,,,None
CSO,"Frostburg, City of",MD0067423,1/8/2005,3:00:00 AM,0,9,30,012/U,21532,37.57912589,-81.5284116,Cumberland WWTP,4000,4000,Precipitation,Georges Creek,Allegany,,,None
BYPASS,"Cumberland, City of",MD0021598,1/8/2005,7:45:00 AM,0,4,15,001 Cumberland WWTP,26767,,,Cumberland WWTP,369100,369100,Precipitation,Potomac River,Allegany,,,None
CSO,"Cumberland, City of",MD0021598,1/8/2005,8:18:00 AM,0,2,30,003 Mill Race PS,21502,39.391,-78.491,Cumberland WWTP,754000,754000,Precipitation,Potomac River,Allegany,,,None
CSO,"Cambridge, City of",MD0021636,1/8/2005,,,,,"Vue de Leau Street, Mills Street, Oakley Street, Maryland Ave., Glenburn Ave and Choptank Ave",21614,38.3431,-76.3465,Cambridge WWTP,430000,430000,Precipitation,Choptank River,Dorchester,,,Time discovered and duration not provided
SSO,Baltimore County DPW,N/A,1/9/2005,1:05:00 PM,0,1,0,976 Sandalwood Rd,21221,,,Back River WWTP,100,100,Blockage,Deep Creek,Baltimore County,,,None
SSO,City of Baltimore,N/A,1/9/2005,2:30:00 PM,0,3,0,1 Edgevale Rd,21210,,,Patapsco WWTP,1260,1260,Blockage,Jones Falls,City of Baltimore,,,None
SSO,Howard County DPW,N/A,1/10/2005,1:40:00 PM,0,1,10,"Little Patuxent WRF., 8900 Greenwood Place, Savage, grease trap",20763,39.128542,-76.812731,Little Patuxent WRF,2000,2000,Waste hauler,Little Patuxent River,Howard,,,Collection system not provided
SSO,"Navy, Department of",N/A,1/10/2005,2:40:00 PM,0,0,10,"Patuxent River Naval Air Station, Bldg 1550F, Lovell Ct",20670,,,NAS WWTP,8,8,Grease,Unknown,St. Mary's,,,None
SSO,City of Baltimore,N/A,1/10/2005,8:00:00 PM,0,1,0,3524 Lyndales Ave,21213,,,Back River WWTP,300,300,Blockage,Herring Run,City of Baltimore,,,None
CSO,"Cumberland, City of",MD0021598,1/11/2005,8:20:00 AM,0,4,35,003 Mill Race PS,21502,39.391,-78.491,Cumberland WWTP,2470000,2470000,Precipitation,Potomac River,Allegany,,,None
SSO,City of Baltimore,N/A,1/11/2005,12:00:00 PM,0,1,10,711 Deepdene Rd,21210,,,Patapsco WWTP,350,350,Grease,Jones Falls,City of Baltimore,,,None
SSO,WSSC,N/A,1/11/2005,2:30:00 PM,0,3,0,"700 Quince Orchard Rd, Gaithersburg, MH #15010027",20878,,,,360,360,Blockage,Unknown,Montgomery,,,Collection system not provided
CSO,"Frostburg, City of",MD0067423,1/11/2005,6:00:00 PM,0,20,0,001/C,21532,37.57912784,-81.52842485,Cumberland WWTP,8000,8000,Precipitation,Sand Spring Run,Allegany,,,None
CSO,"Frostburg, City of",MD0067423,1/11/2005,6:00:00 PM,0,20,0,004/F,21532,37.57913753,-81.52840922,Cumberland WWTP,8000,8000,Precipitation,Jennings Run,Allegany,,,None
CSO,"Frostburg, City of",MD0067423,1/11/2005,6:00:00 PM,0,20,0,005/G,21532,37.57913835,-81.52841652,Cumberland WWTP,8000,8000,Precipitation,Jennings Run,Allegany,,,None
CSO,"Frostburg, City of",MD0067423,1/11/2005,6:00:00 PM,0,20,0,006/H,21532,37.5791357,-81.52842085,Cumberland WWTP,8000,8000,Precipitation,Jennings Run,Allegany,,,None
CSO,"Frostburg, City of",MD0067423,1/11/2005,6:00:00 PM,0,20,0,010/Q,21532,37.5791275,-81.52841273,Cumberland WWTP,8000,8000,Precipitation,Georges Creek,Allegany,,,None
CSO,"Frostburg, City of",MD0067423,1/11/2005,6:00:00 PM,0,20,0,011/R,21532,37.5791267,-81.52841199,Cumberland WWTP,8000,8000,Precipitation,Georges Creek,Allegany,,,None
CSO,"Frostburg, City of",MD0067423,1/11/2005,6:00:00 PM,0,20,0,012/U,21532,37.57912589,-81.5284116,Cumberland WWTP,8000,8000,Precipitation,Georges Creek,Allegany,,,None
CSO,"Cumberland, City of",MD0021598,1/11/2005,7:30:00 PM,0,17,0,001 Cumberland WWTP,21502,39.391,-78.491,Cumberland WWTP,421300,421300,Precipitation,Potomac River,Allegany,,,None
CSO,La Vale,MD0067547,1/11/2005,7:30:00 PM,0,3,30,003 Arlington Ave,21504,37.57913276,-81.52830046,Cumberland WWTP,17000,17000,Excessive flow,Braddock Run,Allegany,,,None
SSO,Allegany County DPW,N/A,1/11/2005,8:00:00 PM,2,7,0,"Jennings Run Sanitary District, Corriganville PS, Corriganviille",21502,,,Cumberland WWTP,93000,93000,Precipitation,Wills Creek,Allegany,,,None
SSO,Howard County DPW,N/A,1/11/2005,9:15:00 PM,0,3,0,"6665 Martin Rd, MH #52-53",21044,,,,1500,1500,Grease,Unnamed tributary,Howard,,,Collection system not provided
CSO,"Cambridge, City of",MD0021636,1/11/2005,,,,,"Vue de Leau Street, Mills Street, Oakley Street, Maryland Ave., Glenburn Ave and Choptank Ave",21614,38.3431,-76.3465,Cambridge WWTP,20000,20000,Precipitation,Choptank River,Dorchester,,,Time discovered and duration not provided
CSO,"Westernport, Town of",MD0067384,1/12/2005,7:00:00 AM,0,3,0,Washington Street,21562,39.2907,-79.0241,Cumberland WWTP,10000,10000,Precipitation,Georges Creek,Allegany,,,None
SSO,City of Baltimore,N/A,1/13/2005,9:00:00 AM,0,4,0,4600 Franklintown Rd,21216,,,Patapsco WWTP,3600,3600,Blockage,Gwynn's Falls,City of Baltimore,,,None
SSO,Baltimore County DPW,N/A,1/14/2005,2:45:00 AM,0,14,45,3443 Ripple Road,21208,,,Patapsco WWTP,156600,156600,Precipitation,Gwynn's Falls,Baltimore County,,,None
SSO,Town of Emmitsburg,N/A,1/14/2005,3:00:00 AM,0,16,0,"MH #103, Park Dr, Emmit Gardens",21727,,,,84000,84000,Precipitation,Flat Run,Frederick,,,Collection system not provided
SSO,"Emmitsburg, Town of",N/A,1/14/2005,3:00:00 AM,0,16,0,"MH #98, Park Dr",21727,,,Emmitsburg WWTP,2000,2000,Precipitation,Flat Run,Frederick,,,None
SSO,Town of Emmitsburg,N/A,1/14/2005,3:00:00 AM,0,16,0,MH #S15,21727,,,,44000,44000,Precipitation,Flat Run,Frederick,,,Collection system not provided
SSO,The Commissioners of Thurmont,N/A,1/14/2005,3:00:00 AM,0,7,0,"Thurmont WWTP, 2 Primary Clarigesters",21788,,,Thurmont WWTP,12000,12000,Precipitation,Hunting Creek,Frederick,,,None
SSO,Baltimore County DPW,N/A,1/14/2005,3:45:00 AM,0,20,45,"746 Overbrook Road, MH723",21239,39.37378,-76.597548,Back River WWTP,377600,377600,Precipitation,Herring Run,Baltimore County,,,Collection system not provided
SSO,Baltimore County DPW,N/A,1/14/2005,3:45:00 AM,0,7,0,"Marnat Road and Hatton Road, MH #793",21209,39.372535,-76.697473,Patapsco WWTP,39600,39600,Precipitation,Jones Falls,Baltimore County,,,None
SSO,Allegany County DPW,N/A,1/14/2005,4:00:00 AM,,,,"Bedford Road Sanitary District, Mill Run PS",21502,,,Cumberland WWTP,12000,12000,Precipitation,Pea Vine Run,Allegany,,,Duration not provided
CSO,"Cumberland, City of",MD0021598,1/14/2005,4:30:00 AM,0,0,30,003 Mill Race PS,21502,39.391,-78.491,Cumberland WWTP,100100,100100,Precipitation,North Branch Potomac River,Allegany,,,None
SSO,Baltimore County DPW,N/A,1/14/2005,5:15:00 AM,0,6,0,1317 Elm Rd,21227,,,Patapsco WWTP,36000,36000,Precipitation,West Branch,Baltimore County,,,None
SSO,Baltimore County DPW,N/A,1/14/2005,5:15:00 AM,0,10,45,"3902 Patterson Avenue, MH # 16432",21208,39.347109,-76.714804,Patapsco WWTP,286600,286600,Precipitation,Gwynn's Falls,Baltimore County,,,None
SSO,Baltimore County DPW,N/A,1/14/2005,5:15:00 AM,0,8,15,5809 Edmondson Avenue,21228,,,Patapsco WWTP,209200,209200,Precipitation,Maiden Choice Creek,Baltimore County,,,None
SSO,Baltimore County DPW,N/A,1/14/2005,5:30:00 AM,0,7,15,Abbie Place & Subet Road,21244,,,,91300,91300,Precipitation,Gwynn's Falls,Baltimore County,,,Collection system not provided
SSO,Baltimore County DPW,N/A,1/14/2005,5:45:00 AM,0,12,0,"Nunnery Lane North of Frederick Rd., MH # 7368",21228,39.276802,-76.713282,Patapsco WWTP,177400,177400,Precipitation,Maiden Choice Creek,Baltimore County,,,None
SSO,City of Baltimore,N/A,1/14/2005,6:00:00 AM,0,5,45,"3600 Ash Street, Structure #5, Jones Falls PS",21211,,,Patapsco WWTP,17475,17475,Precipitation,Jones Falls,City of Baltimore,,,Lat/Long could not be obtained with the address provided
SSO,Baltimore County DPW,N/A,1/14/2005,6:15:00 AM,0,4,15,6036 Moorehead Road,21228,,,Patapsco WWTP,17300,17300,Precipitation,Dead Run,Baltimore County,,,None
SSO,Baltimore County DPW,N/A,1/14/2005,6:15:00 AM,0,4,0,"7829 Aiken Avenue near Taylor, MH # 11481",21234,39.378665,-76.551326,Back River WWTP,50400,50400,Precipitation,Herring Run,Baltimore County,,,None
SSO,Baltimore County DPW,N/A,1/14/2005,6:20:00 AM,0,5,0,MH on Perring Pkwy between Taylor Ave and Wycliffe Rd,21234,,,Back River WWTP,500,500,Precipitation,Herring Run,Baltimore County,,,None
SSO,Baltimore County DPW,N/A,1/14/2005,6:30:00 AM,0,3,0,7204 Croydon Court,21244,,,,6000,6000,Precipitation,Gwynn's Falls,Baltimore County,,,Collection system not provided
SSO,Charles County DPW,N/A,1/14/2005,6:45:00 AM,0,0,5,"Charles County Laurel Branch PS, Popular Lane",20603,,,,14000,14000,Precipitation,Mattawoman Creek,Charles,,,Collection system not provided
BYPASS,The Commissioners of Thurmont,MD0021121,1/14/2005,7:00:00 AM,0,1,0,"74 Moser Rd, Thurmont WWTP, San Filter Building",21788,,,Thurmont WWTP,3000,3000,Precipitation,Unknown,Frederick,,,None
SSO,Baltimore County DPW,N/A,1/14/2005,7:15:00 AM,0,2,15,"1828 Briarcliff Road, MH # 6586",21236,,,Back River WWTP,3900,3900,Excess inflow and infiltration,Herring Run,Baltimore County,,,Collection system not provided
SSO,Baltimore County DPW,N/A,1/14/2005,7:27:00 AM,0,4,16,"1235 Reames Rd, White Marsh, White Marsh PS",21220,,,Back River WWTP,6500,6500,Precipitation,White Marsh Run,Baltimore County,,,Lat/Long could not be obtained with the address provided
BYPASS,"Brunswick, City of",MD0020958,1/14/2005,7:30:00 AM,1,3,0,"20 C & O Canal Rd, Brunswick WWTP",21716,,,,1946000,1946000,Precipitation,Potomac River,Frederick,,,Collection system not provided
BYPASS,The Commissioners of Thurmont,MD0021121,1/14/2005,7:30:00 AM,0,1,15,"74 Moser Rd, Thurmont WWTP, MH on Ironmaster Ct",21788,,,Thurmont WWTP,3000,3000,Precipitation,Unknown,Frederick,,,None
SSO,"St. Michaels, City of / MES",N/A,1/14/2005,7:30:00 AM,0,0,30,Chestnut Street,21663,,,St. Michael's WWTP,100,100,Precipitation,Miles River,Talbot,,,Collection system not provided
SSO,Baltimore County DPW,N/A,1/14/2005,7:45:00 AM,0,7,45,"308 Essex Avenue, MH #23123, Essex",21221,39.321225,-76.477203,Back River WWTP,167200,167200,Precipitation,Northeast Creek,Baltimore County,,,None
BYPASS,The Commissioners of Thurmont,MD0021121,1/14/2005,7:45:00 AM,0,1,45,"74 Moser Rd, Thurmont WWTP, MH 01 outside gate to treatment off Moser Rd",21788,,,Thurmont WWTP,10500,10500,Precipitation,Unknown,Frederick,,,None
BYPASS,"Army, Department of",MD0021229,1/14/2005,7:45:00 AM,0,4,0,"Aberdeen Proving Ground, Edgewood Area",21010,,,,270780,270780,Precipitation,Bush River,Harford,,,Collection system not provided
SSO,Baltimore County DPW,N/A,1/14/2005,7:45:00 AM,0,3,0,"Alter & Southern Cross Roads, MH # 11060",21207,,,Patapsco WWTP,10000,10000,Excess inflow and infiltration,Gwynn's Falls,Baltimore County,,,None
SSO,Southern Middle School,N/A,1/14/2005,7:45:00 AM,0,0,15,"Southern Middle School, side of the SBR unit",20711,,,,30,30,Pipe failure,Unknown,Anne Arundel,,,Collection system not provided
SSO,Baltimore County DPW,N/A,1/14/2005,7:48:00 AM,0,2,6,"101 McTavish Ave, Catonsville, McTavish PS",21228,,,Patapsco WWTP,1000,1000,Precipitation,West Branch,Baltimore County,,,None
SSO,Baltimore County DPW,N/A,1/14/2005,8:00:00 AM,0,13,30,"7120 Marston Road (Sussex Road Alley), MH10750",21207,,,Patapsco WWTP,20000,20000,Excess inflow and infiltration,Gwynn's Falls,Baltimore County,,,None
SSO,Baltimore County DPW,N/A,1/14/2005,8:00:00 AM,0,4,15,"740 Anneslie Rd & Maplewood, MH # 726",21212,39.374448,-76.598146,Back River WWTP,15000,15000,Precipitation,Herring Run,Baltimore County,,,None
SSO,"St. Michaels, City of / MES",N/A,1/14/2005,8:15:00 AM,0,4,0,"Carpenter Street, St Michaels",21663,,,St. Michael's WWTP,750,750,Precipitation,Miles River,Talbot,,,Collection system not provided
SSO,WSSC,N/A,1/14/2005,8:27:00 AM,0,4,0,"10315 Livingston Rd 00456065200, Fort Washington",20744,38.750226,-77.000658,Piscataway WWTP,597000,597000,Other,Broad Creek,Prince George's,,,None
SSO,Baltimore County DPW,N/A,1/14/2005,8:46:00 AM,0,2,11,"1100 Hengemihle Ave, Stemmers Run PS",21221,,,Back River WWTP,4000,4000,Precipitation,North East Creek,Baltimore County,,,None
SSO,City of Baltimore,N/A,1/14/2005,9:00:00 AM,0,5,45,107 Chesapeake Ave,21225,,,Back River WWTP,239583,239583,Precipitation,Patapsco River,City of Baltimore,,,Lat/Long could not be obtained with the address provided
BYPASS,"Army, Department of",MD0021717,1/14/2005,9:00:00 AM,0,0,0,Ft. Meade WWTP,20755,,,Ft. Meade WWTP,0,0,Precipitation,Little Patuxent River,Anne Arundel,,,None
SSO,Baltimore County DPW,N/A,1/14/2005,9:15:00 AM,0,3,0,"Southern Cross Drive & Parsons, MH # 901891",21208,39.354111,-76.714815,Patapsco WWTP,15500,15500,Precipitation,Gwynn's Falls,Baltimore County,,,None
SSO,"Aberdeen, City of",N/A,1/14/2005,9:30:00 AM,0,1,30,"361 Michael Ln, Aberdeen Advanced WWTP, last MH before PS",21005,,,,67500,67500,Precipitation,Swan Creek,Harford,,,Collection system not provided
SSO,"Aberdeen, City of",N/A,1/14/2005,9:30:00 AM,0,2,0,Dead end of Rigdon Rd,21001,,,,60000,60000,Precipitation,Swan Creek,Harford,,,Collection system not provided
SSO,"Aberdeen, City of",N/A,1/14/2005,9:30:00 AM,0,1,30,Last MH @ S. end of South Dr,21001,,,,7500,7500,Precipitation,Swan Creek,Harford,,,Collection system not provided
SSO,Harford County Public Schools,N/A,1/14/2005,9:30:00 AM,0,3,30,North Harford High School,21132,,,,1000,1000,Precipitation,Broad Creek,Harford,,,Collection system not provided
SSO,Baltimore County DPW,N/A,1/14/2005,10:28:00 AM,0,1,32,"500 Edmonson Ave, Rear of",21228,,,Patapsco WWTP,1000,1000,Precipitation,Gwynn's Falls,Baltimore County,,,None
SSO,City of Baltimore,N/A,1/14/2005,11:00:00 AM,0,12,0,2803 Dukeland St,21216,,,Patapsco WWTP,72000,72000,Precipitation,Gwynn's Falls,City of Baltimore,,,Lat/Long could not be obtained with the address provided
BYPASS,"La Plata, Town of (MES)",MD0020524,1/14/2005,12:30:00 PM,0,0,0,"6505 Curley Hall Rd, La Plata WWTP",20646,,,La Plata WWTP,0,0,Precipitation,Port Tobacco Creek,Charles,,,None
SSO,WSSC,N/A,1/14/2005,1:40:00 PM,0,0,12,"6902 Kent Town Dr, MH 03-025-002u",20785,,,,500,500,Blockage,Unknown,Prince George's,,,Collection system not provided
SSO,Calvert County Bureau of Utilities Division of Water and Sewer,N/A,1/14/2005,3:00:00 PM,,,,"Chesapeake Beach WWTP, 8450 Bayside Road",20732,38.699382,-76.534084,Chesapeak Beach WWTP,360000,360000,Precipitation,Chesapeake Bay,Calvert,,,Duration & collection system not provided
CSO,"Cambridge, City of",MD0021636,1/14/2005,,,,,"Vue de Leau Street, Mills Street, Oakley Street, Maryland Ave., Glenburn Ave and Choptank Ave",21614,38.3431,-76.3465,Cambridge WWTP,1070000,1070000,Precipitation,Choptank River,Dorchester,,,Time discovered and duration not provided
SSO,WSSC,N/A,1/15/2005,6:30:00 PM,0,2,0,"5208 Doppler St, Capital Heights, MH 18053063U",20743,,,,10,10,Grease,Unknown,Prince George's,,,Collection system not provided
SSO,Town of Federalsburg,N/A,1/16/2005,12:30:00 AM,0,24,0,MH before PS,21632,,,,20000,20000,Blockage,Marshyhope Creek,Caroline,,,Collection system not provided
SSO,"Salisbury, City of",N/A,1/16/2005,5:00:00 PM,0,5,0,"Fitzwater St, Intersection West Main St",21801,,,Salisbury WWTP,330,330,Grease,Wicomico River,Wicomico,,,None
